date,valeur,mot_cle
2025-05-01,37,big data
2025-06-01,39,big data
2025-07-01,32,big data
2025-08-01,28,big data
2025-09-01,54,big data
2025-10-01,45,big data
2025-11-01,86,big data
2025-12-01,98,big data
2020-01-01,19,bitcoin
2020-02-01,23,bitcoin
2020-03-01,42,bitcoin
2020-04-01,30,bitcoin
2020-05-01,33,bitcoin
2020-06-01,18,bitcoin
2020-07-01,18,bitcoin
2020-08-01,24,bitcoin
2020-09-01,17,bitcoin
2020-10-01,18,bitcoin
2020-11-01,35,bitcoin
2020-12-01,43,bitcoin
2021-01-01,93,bitcoin
2021-02-01,100,bitcoin
2021-03-01,70,bitcoin
2021-04-01,66,bitcoin
2021-05-01,89,bitcoin
2021-06-01,59,bitcoin
2021-07-01,44,bitcoin
2021-08-01,46,bitcoin
2021-09-01,43,bitcoin
2021-10-01,49,bitcoin
2021-11-01,46,bitcoin
2021-12-01,48,bitcoin
2022-01-01,63,bitcoin
2022-02-01,58,bitcoin
2022-03-01,50,bitcoin
2022-04-01,38,bitcoin
2022-05-01,61,bitcoin
2022-06-01,74,bitcoin
2022-07-01,53,bitcoin
2022-08-01,45,bitcoin
2022-09-01,41,bitcoin
2022-10-01,30,bitcoin
2022-11-01,51,bitcoin
2022-12-01,31,bitcoin
2023-01-01,34,bitcoin
2023-02-01,32,bitcoin
2023-03-01,40,bitcoin
2023-04-01,33,bitcoin
2023-05-01,25,bitcoin
2023-06-01,26,bitcoin
2023-07-01,24,bitcoin
2023-08-01,26,bitcoin
2023-09-01,22,bitcoin
2023-10-01,27,bitcoin
2023-11-01,30,bitcoin
2023-12-01,36,bitcoin
2024-01-01,46,bitcoin
2024-02-01,41,bitcoin
2024-03-01,68,bitcoin
2024-04-01,49,bitcoin
2024-05-01,32,bitcoin
2024-06-01,27,bitcoin
2024-07-01,30,bitcoin
2024-08-01,33,bitcoin
2024-09-01,28,bitcoin
2024-10-01,27,bitcoin
2024-11-01,85,bitcoin
2024-12-01,68,bitcoin
2025-01-01,63,bitcoin
2025-02-01,52,bitcoin
2025-03-01,51,bitcoin
2025-04-01,45,bitcoin
2025-05-01,41,bitcoin
2025-06-01,32,bitcoin
2025-07-01,41,bitcoin
2025-08-01,38,bitcoin
2025-09-01,31,bitcoin
2025-10-01,45,bitcoin
2025-11-01,76,bitcoin
2025-12-01,57,bitcoin
2020-01-01,55,blockchain
2020-02-01,43,blockchain
2020-03-01,34,blockchain
2020-04-01,37,blockchain
2020-05-01,35,blockchain
2020-06-01,34,blockchain
2020-07-01,42,blockchain
2020-08-01,42,blockchain
2020-09-01,39,blockchain
2020-10-01,37,blockchain
2020-11-01,49,blockchain
2020-12-01,53,blockchain
2021-01-01,70,blockchain
2021-02-01,82,blockchain
2021-03-01,78,blockchain
2021-04-01,80,blockchain
2021-05-01,78,blockchain
2021-06-01,50,blockchain
2021-07-01,41,blockchain
2021-08-01,46,blockchain
2021-09-01,59,blockchain
2021-10-01,64,blockchain
2021-11-01,92,blockchain
2021-12-01,80,blockchain
2022-01-01,100,blockchain
2022-02-01,91,blockchain
2022-03-01,87,blockchain
2022-04-01,93,blockchain
2022-05-01,76,blockchain
2022-06-01,74,blockchain
2022-07-01,58,blockchain
2022-08-01,52,blockchain
2022-09-01,59,blockchain
2022-10-01,58,blockchain
2022-11-01,61,blockchain
2022-12-01,47,blockchain
2023-01-01,58,blockchain
2023-02-01,56,blockchain
2023-03-01,57,blockchain
2023-04-01,48,blockchain
2023-05-01,45,blockchain
2023-06-01,45,blockchain
2023-07-01,36,blockchain
2023-08-01,34,blockchain
2023-09-01,38,blockchain
2023-10-01,42,blockchain
2023-11-01,43,blockchain
2023-12-01,43,blockchain
2024-01-01,43,blockchain
2024-02-01,49,blockchain
2024-03-01,60,blockchain
2024-04-01,51,blockchain
2024-05-01,38,blockchain
2024-06-01,37,blockchain
2024-07-01,31,blockchain
2024-08-01,30,blockchain
2024-09-01,36,blockchain
2024-10-01,37,blockchain
2024-11-01,51,blockchain
2024-12-01,50,blockchain
2025-01-01,54,blockchain
2025-02-01,55,blockchain
2025-03-01,43,blockchain
2025-04-01,46,blockchain
2025-05-01,64,blockchain
2025-06-01,78,blockchain
2025-07-01,66,blockchain
2025-08-01,49,blockchain
2025-09-01,48,blockchain
2025-10-01,42,blockchain
2025-11-01,70,blockchain
2025-12-01,74,blockchain
2020-01-01,0,chatgpt
2020-02-01,0,chatgpt
2020-03-01,0,chatgpt
2020-04-01,0,chatgpt
2020-05-01,0,chatgpt
2020-06-01,0,chatgpt
2020-07-01,0,chatgpt
2020-08-01,0,chatgpt
2020-09-01,0,chatgpt
2020-10-01,0,chatgpt
2020-11-01,0,chatgpt
2020-12-01,0,chatgpt
2021-01-01,0,chatgpt
2021-02-01,0,chatgpt
2021-03-01,0,chatgpt
2021-04-01,0,chatgpt
2021-05-01,0,chatgpt
2021-06-01,0,chatgpt
2021-07-01,0,chatgpt
2021-08-01,0,chatgpt
2021-09-01,0,chatgpt
2021-10-01,0,chatgpt
2021-11-01,0,chatgpt
2021-12-01,0,chatgpt
2022-01-01,0,chatgpt
2022-02-01,0,chatgpt
2022-03-01,0,chatgpt
2022-04-01,0,chatgpt
2022-05-01,0,chatgpt
2022-06-01,0,chatgpt
2022-07-01,0,chatgpt
2022-08-01,0,chatgpt
2022-09-01,0,chatgpt
2022-10-01,0,chatgpt
2022-11-01,0,chatgpt
2022-12-01,5,chatgpt
2023-01-01,18,chatgpt
2023-02-01,17,chatgpt
2023-03-01,19,chatgpt
2023-04-01,22,chatgpt
2023-05-01,20,chatgpt
2023-06-01,17,chatgpt
2023-07-01,13,chatgpt
2023-08-01,11,chatgpt
2023-09-01,19,chatgpt
2023-10-01,21,chatgpt
2023-11-01,21,chatgpt
2023-12-01,20,chatgpt
2024-01-01,19,chatgpt
2024-02-01,21,chatgpt
2024-03-01,21,chatgpt
2024-04-01,20,chatgpt
2024-05-01,19,chatgpt
2024-06-01,17,chatgpt
2024-07-01,11,chatgpt
2024-08-01,12,chatgpt
2024-09-01,24,chatgpt
2024-10-01,35,chatgpt
2024-11-01,44,chatgpt
2024-12-01,46,chatgpt
2025-01-01,46,chatgpt
2025-02-01,43,chatgpt
2025-03-01,47,chatgpt
2025-04-01,57,chatgpt
2025-05-01,58,chatgpt
2025-06-01,70,chatgpt
2025-07-01,64,chatgpt
2025-08-01,50,chatgpt
2025-09-01,79,chatgpt
2025-10-01,80,chatgpt
2025-11-01,100,chatgpt
2025-12-01,86,chatgpt
2020-01-01,33,cloud computing
2020-02-01,31,cloud computing
2020-03-01,29,cloud computing
2020-04-01,29,cloud computing
2020-05-01,28,cloud computing
2020-06-01,24,cloud computing
2020-07-01,19,cloud computing
2020-08-01,20,cloud computing
2020-09-01,29,cloud computing
2020-10-01,27,cloud computing
2020-11-01,32,cloud computing
2020-12-01,27,cloud computing
2021-01-01,29,cloud computing
2021-02-01,32,cloud computing
2021-03-01,33,cloud computing
2021-04-01,24,cloud computing
2021-05-01,23,cloud computing
2021-06-01,22,cloud computing
2021-07-01,18,cloud computing
2021-08-01,18,cloud computing
2021-09-01,26,cloud computing
2021-10-01,24,cloud computing
2021-11-01,31,cloud computing
2021-12-01,27,cloud computing
2022-01-01,33,cloud computing
2022-02-01,35,cloud computing
2022-03-01,36,cloud computing
2022-04-01,33,cloud computing
2022-05-01,31,cloud computing
2022-06-01,24,cloud computing
2022-07-01,21,cloud computing
2022-08-01,18,cloud computing
2022-09-01,30,cloud computing
2022-10-01,31,cloud computing
2022-11-01,33,cloud computing
2022-12-01,24,cloud computing
2023-01-01,35,cloud computing
2023-02-01,26,cloud computing
2023-03-01,34,cloud computing
2023-04-01,28,cloud computing
2023-05-01,28,cloud computing
2023-06-01,27,cloud computing
