mot_cle,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01
algorithme,1.742865528884705,1.6884844315203424,2.165793225985671,1.518577816367217,1.518079278765334,1.4568574490771693,0.6309854805717653,0.6471686181609945,1.7167684718782907,1.9707884537204656,1.6965672417218443,1.3229316583796162,1.5443089570378064,1.297062102584727,1.5509907723519385,1.552684692613711,1.3514895266253828,1.4621018851859227,0.3701256483977969,0.43907486255511247,1.6980703641733108,2.0423492620340404,1.596765420488801,1.2123916947326008,1.5534929141126126,1.399802137558039,1.536093234404527,1.3422427024993648,1.504074014187771,1.4814538931274563,0.5911307362908529,0.46385634961337757,1.7133828975279017,1.8360531134586713,1.6432588618909194,1.610892362803002,2.0967872245874584,1.838999654565835,2.2044132441545563,1.723069326329447,1.8571148784799076,1.6877420373092853,0.6315990301234347,0.5923071316462133,1.6702292820096487,2.1068421098048233,1.9496940936424623,2.0653052757549797,1.8134091408190989,1.5428294351487417,1.5177994901840426,1.5983096808493766,2.129388065916045,1.2894305804657318,0.10264270797453835,-0.1039585227085212,1.2567812883443272,1.1387816360349556,1.0376602419601755,0.5881802087932342,1.0170770081334197,0.25723418429246336,0.9012494787485584,0.4982177542539184,0.6942326953397541,0.38347075310121576,-0.40907130871042413,-0.5082574323257959,0.7204663208927934,0.22412640735156542,-0.5666745518034164,-0.8508297587472562
automatisation,0.35386453812270113,0.16965633043984302,0.08233038640286888,0.008579535685690491,-0.0033073622631053503,0.3087904375761392,0.4447167040192147,0.35630631786391836,0.8610583301321022,0.6920325868026063,0.3811373723947681,0.30122678240068484,0.2459961170502701,0.15928832838759804,0.39562518572408356,0.32318323918656433,0.3400522034734834,0.3031186835141548,0.5743329026862365,0.2876697375361082,0.6066036282399097,0.26639338200444,0.23992848287137425,0.20952707279721464,0.15504528105624907,0.45505378825002624,0.39326675804229694,0.3860275846238278,0.6509617496669637,0.7615658120680786,0.6399845161496011,0.6103373021228653,0.8615315134462331,0.6040694226097794,0.5199727600470715,0.45549370258567645,0.8744448963526171,0.915652547670855,1.002006020070253,0.7428801885971268,0.6488081682949607,1.404563843129875,1.2695778484299343,1.1045727590159113,1.1876590239651272,1.0724751825104657,1.2266287344108207,1.1046981707526635,1.8134091408190989,1.3885464916338677,1.2075168005382417,1.700275210728125,1.674174465126392,2.06253671008116,1.6120942958353939,1.6082994983730015,2.020246556964713,1.2820246091211134,1.44107027123195,1.305473146345959,1.8138654476849465,1.2170632301598636,1.8232438304094878,1.635701211454645,1.5677705239129545,1.879941984715716,1.7691005948126126,1.896401387280121,1.9129623003015548,1.6370972363070861,0.42684576629348214,0.9082697424601509
big data,1.7759369810457053,1.9146928721068,1.5273126783715865,1.2783508171678832,1.6173001466584933,1.6943885549049686,1.5623293633345183,1.034985018557096,2.322896488948508,1.7075151870020828,1.2918195896212055,0.9706196321799848,0.9976509191483174,0.9719838813855475,1.2008799885253159,0.9554982723776683,0.8632094395865348,1.0609153922995416,0.6253847162583465,0.38860648754877775,1.6141113844861261,1.1157635854968577,0.8025194082249415,0.4602432282810612,0.7022639200783044,0.9274279629040326,1.3008054304475973,1.16516582881871,1.2815229886606039,0.7994546584396247,0.4445693967146084,0.46385634961337757,2.1393085895687363,1.2399319727253364,1.0272632576539706,0.6776857526274699,0.9214580628231879,0.8643554861766894,0.8016048160562024,0.7944690905830384,0.38613279651562443,0.3284867052481158,0.18501385730888484,0.2081079111189398,2.1527995400541697,0.9091540887271461,0.40026832386037303,0.013099187795486005,0.20264457447548664,0.30856588702974835,0.12152738677793874,0.17079226254690316,0.30853366275743177,0.24021511884479377,-0.018113419054330095,-0.2262626670714871,0.8456846052410426,1.2342769514257275,-0.351863192198159,-0.3682103746103989,-0.3421503299250673,-0.4722358905667608,-0.6200412014919752,-0.7757637178108955,-0.4091835091737622,-0.36476486270603425,-0.46219745269879087,-0.5629087691350213,0.47202965851596806,-0.1169355168790775,0.31645461983827117,0.8364697628190322
bitcoin,-0.5721361223853015,-0.4120225167824759,0.25035158314341743,-0.16301117802811932,-0.06945460752521142,-0.5225684328211586,-0.44005998460540086,-0.12846418263120857,-0.6364344179237278,-0.5491128134411986,-0.05733925071425726,0.2659955797807217,1.885970230718737,1.9797263671030048,1.1308578317599913,1.0608841112428524,1.8746467627384342,1.28379677723642,0.9316955976910059,1.0446953626311297,0.43868566886554017,0.4594320646163531,0.10755414749406432,0.28116026007831363,0.4286546005672767,0.2975957300320241,0.09075386724053014,-0.18061841115426813,0.6880535872548249,1.254120814898179,1.0308147550195863,0.7079912704625236,0.08712116428107976,-0.3894658119457786,0.26632751124362203,-0.3443976775647798,-0.5829632642350779,-0.5206651741657802,-0.2004012040140506,-0.4952534590647513,-0.7696388393134552,-0.6343191549618793,-0.4529649609976149,-0.24012451282954594,-0.7962409257734602,-0.6696164845116104,-0.6326821893276864,-0.24888456811423657,0.2546047217768935,-0.25713823919145695,1.104089237322975,0.3237405573650253,-0.45015567189199046,-0.6985566099739402,-0.19924760959763277,0.018345621654444713,-0.6812459319997289,-0.9143676448666413,1.5755402809892083,1.018555971324869,0.5015080178353729,-0.31866324322797673,-0.11294430807846399,-0.3207703349306048,-0.2252808084215095,-0.6921179446217062,0.015937843196509874,-0.01639540104276746,-0.6707789884174283,-0.1169355168790775,-0.05151586834576532,-0.6354298198239002
blockchain,0.6184361554107018,0.23428731346454512,-0.018482331641460247,0.07721582117121442,-0.0033073622631053503,0.1108478493863064,0.677552674709903,0.7441227182600199,0.14796654534361173,0.16548605336584057,0.41486634340315465,0.6183076059803533,1.1001493012525965,1.394585568944481,1.4109464588212894,1.552684692613711,1.4909981229221965,0.8826102843500387,0.7785401569746762,1.0446953626311297,1.1103575063630178,1.0385481124520923,1.6298590043331285,1.4272912565758977,1.5534929141126126,1.3368189142708382,1.334417973870016,1.7672271993329367,1.2444311510727426,1.254120814898179,1.275083654313327,1.0497801596513283,0.7840904785297178,0.7232936507564464,0.6286778666771213,0.36661688256895913,0.5453527310586215,0.7104643016941928,0.6513039130456644,0.2785800707239225,0.2810626478038899,0.44175798291987994,0.3126096209701848,0.27214111454015205,0.061661755194577644,0.1469889844049878,0.03873564424455223,0.0567631471137731,0.09872427987267293,0.15428294351487418,0.690378984461907,0.42570608724377346,-0.14667993803222157,-0.1463379459629202,-0.13886954608319854,-0.16511059489000415,-0.21142115131026076,-0.4368910679127816,0.05154683707361557,0.15780444626159934,0.07967884395515282,-0.20348375772388874,-0.48174204874283577,-0.2752709966425757,0.8321597209039435,1.4590594508241377,1.3440914429056785,0.5847693038587117,0.17390566366377772,-0.2631049129779245,-0.2722981612561872,-0.025129992874391632
chatgpt,-1.2004937134443034,-1.1552788215665502,-1.1610264694771903,-1.1925554603109783,-1.1608841543499615,-1.2351617503045567,-1.2782694790918787,-1.2919133838195132,-1.2425624349939446,-1.226101213574183,-1.237853236007787,-1.2489461328776938,-1.2914796145139174,-1.271055844888793,-1.3199176550263678,-1.2576043437911957,-1.2294195048656709,-1.346203565018746,-1.3145841994818301,-1.2768498876602699,-1.366432394408931,-1.4323470249803953,-1.4147507093449998,-1.4380362346680624,-1.486610636009917,-1.5289177452968006,-1.5898733038803965,-1.5264026511272462,-1.5745485056047075,-1.5496538165962392,-1.5584355774940664,-1.489223017179791,-1.5004200515074846,-1.5817080934124481,-1.5816593014672244,-1.4997963377821055,-1.335173927764211,-1.2901210965782635,-1.2525075250878162,-1.062731380909779,-1.0323142110927916,-1.144039904484818,-1.1547416611347645,-1.2006225641477297,-0.9570976784549673,-0.9962586720782496,-1.097509920262313,-0.9475079172068301,-1.1483192553610915,-1.2856911959572848,-1.3264584982357988,-1.1547596258768222,-1.1076864285881565,-1.25077527398496,-1.346430816371883,-1.2658478941566973,-0.916158322344463,-0.5323863833035536,-0.2622165190266535,-0.03347367041912729,-0.29528042171615393,-0.6642016997402408,-0.2973431784106499,0.22522172452574402,0.5563056697755645,1.0849416429205128,1.2378391549289451,0.6394206406679371,1.7142129704000946,1.588374104274137,0.8316133032959223,0.4056698849723203
cloud computing,-0.10913579213130022,-0.1534985846836675,-0.1865035283820088,-0.1973293207708813,-0.23482272068047658,-0.2850373269933592,-0.3934927904672632,-0.32237238282925934,-0.2085793470506335,-0.2106186133747063,-0.15852616373941694,-0.29770366213868876,-0.3006619208392188,-0.23080553705141768,-0.16455206839851277,-0.4145176328697236,-0.427245076158992,-0.36552547129648066,-0.3956515551838518,-0.3684191375462439,-0.2749656584755298,-0.5057613484432124,-0.3888496101708479,-0.4709882063732259,-0.4833764644694822,-0.4267113377707857,-0.37982174067332936,-0.35769528483492313,-0.4247015403810107,-0.6403215036791307,-0.5325062004603549,-0.6103373021228653,-0.3388045277597546,-0.3497244025635563,-0.3859031285366767,-0.6554665476232905,-0.5359500977645072,-0.8284475431307735,-0.5010030100351265,-0.7531979689943092,-0.6120336162458535,-0.5776835161259972,-0.6443586064895648,-0.49625732651439497,-0.3672895852894413,-0.4518550261338508,-0.6326821893276864,-0.46720436470567206,-0.6806779296484298,-0.6171317740594967,-0.34389664769076256,-0.28805262190746334,-0.5513142498452468,-0.3672254115673282,-0.3200037366265012,0.1406497660174106,-0.15269305372407724,-0.48463872560816756,-0.5311565385411698,-0.7507666079718521,-0.6233697791785473,-0.8177743470790249,-0.6661409190750217,-0.8667623943869536,-0.4551591843618254,-0.271235410730128,-0.6215758846638911,-0.6722114427534721,-0.7204663208927934,-0.5554437051756184,0.758019205659115,0.9082697424601509
cybersécurité,-0.9359220961563026,-0.9613858724924438,-0.9930052727366419,-1.0552828893399304,-0.9955160411946963,-1.0372191621147238,-0.9988663142630528,-1.0495281335719497,-0.992980310317973,-0.9628279468558001,-1.001750438949081,-1.037558917157915,-1.018150595569173,-0.9459776236896131,-0.9698068711997451,-0.976575440150705,-0.9504023122720434,-0.9450170721323647,-0.8551178773328411,-0.9235712626159264,-0.904658006129415,-1.046269659756569,-1.083814870901725,-1.0798702982625674,-1.091397174493988,-1.0880351822863945,-0.9848475222768629,-1.066002779557543,-1.0181709417867897,-0.9813211210230464,-1.0210439990478366,-1.000953175481499,-0.9196122896336196,-0.9458455432968911,-1.0381337683169753,-1.144289057715236,-1.335173927764211,-1.2388240350840978,-1.152306923080791,-1.269086988853425,-1.1899194341603934,-1.0874042656489358,-1.0271458974734646,-1.1365893607265174,-0.9570976784549673,-1.0506990366726894,-1.0458623946029102,-1.0784997951616915,-1.0963591080596846,-1.1314082524424107,-1.0678895901976313,-1.1037768609374483,-1.0571071396115284,-1.0851096747816542,-0.9841624352852777,-1.2046958219752144,-1.03361451751683,-1.1053582756481852,-1.2931532604989662,-1.3724204871842136,-1.3264184023122474,1.5242085248374315,1.6849446776603485,1.3627051817264706,-1.2827213377469626,-1.2532946564771437,-1.3122157565126589,-1.382678821273402,-1.1676523131710788,-1.3350138177028021,-2.11215060217637,-2.035529422825714
data science,-0.24142160077530062,-0.25044505922072063,-0.3881289644706671,-0.2659656062564052,-0.3671172112046887,-0.0870947388035264,-0.06752243150029957,-0.12846418263120857,-0.10161557933235994,-0.248229080048761,-0.46208690281489606,-0.47385967523850453,-0.403160302943498,-0.3608368255310896,-0.44464069545981094,-0.44964624582478496,-0.427245076158992,-0.32094919430910496,-0.2424961144675221,-0.3179507625399091,-0.23298616863193744,-0.42854587539844713,-0.5543175293924854,-0.5068048000137754,-0.574579570973158,-0.4582029494143861,-0.3462091972509108,-0.35769528483492313,-0.3876097027931495,-0.2993218863352149,-0.3370910810253623,-0.31737539710388996,-0.3388045277597546,-0.3497244025635563,-0.3859031285366767,-0.6110281376149319,-0.6299764307056488,-0.46936811267161466,-0.7014042140491771,-0.650020165022486,-0.6645686906017207,-0.4644122384542331,-0.4529649609976149,-0.49625732651439497,-0.3672895852894413,-0.4518550261338508,-0.5810346636682834,-0.7728520799336818,-0.5767576350456161,-0.668559421897788,-0.6024655557289299,-0.7978802713012039,-0.7030521167751312,-0.6433347435728382,-0.6218940541986724,-0.5931751001603848,-0.6812459319997289,-0.6278816986943255,-0.7552732214699335,-0.9898642538227604,-0.9514591366409407,-1.086526479921897,-0.9427392245733005,-1.0487597475390698,-0.9149159362424572,-0.8324121225855655,-0.8340804606173581,-0.8361654531811482,-0.8695283183188885,-0.9939518934721593,0.5372369127486931,0.9082697424601509
deep learning,0.05622146867370026,0.07270985590278986,-0.05208657098956996,-0.060056749799833435,-0.06945460752521142,0.3087904375761392,0.3050151216048017,0.0654440175668422,-0.030306400853510895,-0.09778721335254224,-0.15852616373941694,-0.22724125689876243,-0.23232966610303268,-0.1982977149314997,-0.1295409900158505,-0.20374595513935562,-0.183105032639568,-0.14264408635960218,-0.19144430089541217,-0.21701401252723956,-0.14902718894475273,-0.19689945626415142,-0.256475274793538,-0.3635384254515774,-0.2401681804596798,-0.04881199804758057,0.0571413238181116,0.03187383726251785,0.1687678610247683,0.0037888846371546734,0.004885377985874886,-0.07324047625474384,-0.18392245792672393,-0.031793127505777743,-0.1322578797332272,-0.21108244753970373,-0.018805266588228255,-0.1615857437066214,0.0,-0.030953341191547027,-0.03414779833131364,-0.18123404427482276,0.12121597547823486,-0.24012451282954594,-0.26005175016843657,0.03810825521610807,-0.16785445839305965,-0.24888456811423657,-0.05715616203154761,-0.051427647838291395,-0.033613958044961686,-0.08412156214996712,-0.09610064905559342,-0.09111607956181822,-0.07849148256876431,-0.348566811434453,-0.3876054440688113,-0.34139575252200965,-0.4863332019554171,-0.7029470788016705,-0.6702396873874606,-0.5874153760708488,-0.5739414839089287,-0.7302643795228664,-0.6390618851140781,-0.36476486270603425,-0.46219745269879087,-0.7268627795626975,-0.6210916559420633,-0.5067205731426694,0.42684576629348214,0.9082697424601509
