date,valeur,mot_cle
2023-06-01,18,chatgpt
2023-07-01,14,chatgpt
2023-08-01,12,chatgpt
2023-09-01,19,chatgpt
2023-10-01,23,chatgpt
2023-11-01,23,chatgpt
2023-12-01,21,chatgpt
2024-01-01,21,chatgpt
2024-02-01,22,chatgpt
2024-03-01,23,chatgpt
2024-04-01,21,chatgpt
2024-05-01,21,chatgpt
2024-06-01,18,chatgpt
2024-07-01,13,chatgpt
2024-08-01,13,chatgpt
2024-09-01,26,chatgpt
2024-10-01,37,chatgpt
2024-11-01,49,chatgpt
2024-12-01,46,chatgpt
2025-01-01,49,chatgpt
2025-02-01,47,chatgpt
2025-03-01,51,chatgpt
2025-04-01,58,chatgpt
2025-05-01,63,chatgpt
2025-06-01,76,chatgpt
2025-07-01,67,chatgpt
2025-08-01,55,chatgpt
2025-09-01,83,chatgpt
2025-10-01,84,chatgpt
2025-11-01,100,chatgpt
2025-12-01,93,chatgpt
2020-01-01,0,openai
2020-02-01,0,openai
2020-03-01,0,openai
2020-04-01,0,openai
2020-05-01,0,openai
2020-06-01,0,openai
2020-07-01,0,openai
2020-08-01,0,openai
2020-09-01,0,openai
2020-10-01,0,openai
2020-11-01,0,openai
2020-12-01,0,openai
2021-01-01,0,openai
2021-02-01,0,openai
2021-03-01,0,openai
2021-04-01,0,openai
2021-05-01,0,openai
2021-06-01,0,openai
2021-07-01,0,openai
2021-08-01,0,openai
2021-09-01,0,openai
2021-10-01,0,openai
2021-11-01,0,openai
2021-12-01,0,openai
2022-01-01,1,openai
2022-02-01,0,openai
2022-03-01,0,openai
2022-04-01,1,openai
2022-05-01,1,openai
2022-06-01,1,openai
2022-07-01,1,openai
2022-08-01,1,openai
2022-09-01,1,openai
2022-10-01,2,openai
2022-11-01,2,openai
2022-12-01,29,openai
2023-01-01,55,openai
2023-02-01,37,openai
2023-03-01,40,openai
2023-04-01,38,openai
2023-05-01,34,openai
2023-06-01,24,openai
2023-07-01,16,openai
2023-08-01,13,openai
2023-09-01,17,openai
2023-10-01,18,openai
2023-11-01,29,openai
2023-12-01,18,openai
2024-01-01,19,openai
2024-02-01,29,openai
2024-03-01,20,openai
2024-04-01,17,openai
2024-05-01,20,openai
2024-06-01,22,openai
2024-07-01,16,openai
2024-08-01,15,openai
2024-09-01,22,openai
2024-10-01,24,openai
2024-11-01,22,openai
2024-12-01,24,openai
2025-01-01,29,openai
2025-02-01,31,openai
2025-03-01,27,openai
2025-04-01,31,openai
2025-05-01,26,openai
2025-06-01,29,openai
2025-07-01,23,openai
2025-08-01,26,openai
2025-09-01,28,openai
2025-10-01,37,openai
2025-11-01,100,openai
2025-12-01,84,openai
2020-01-01,34,machine learning
2020-02-01,36,machine learning
2020-03-01,31,machine learning
2020-04-01,35,machine learning
2020-05-01,33,machine learning
2020-06-01,33,machine learning
2020-07-01,29,machine learning
2020-08-01,26,machine learning
2020-09-01,34,machine learning
2020-10-01,31,machine learning
2020-11-01,30,machine learning
2020-12-01,28,machine learning
2021-01-01,33,machine learning
2021-02-01,33,machine learning
2021-03-01,35,machine learning
2021-04-01,31,machine learning
2021-05-01,28,machine learning
2021-06-01,27,machine learning
2021-07-01,22,machine learning
2021-08-01,19,machine learning
2021-09-01,29,machine learning
2021-10-01,30,machine learning
2021-11-01,35,machine learning
2021-12-01,30,machine learning
2022-01-01,39,machine learning
2022-02-01,45,machine learning
2022-03-01,52,machine learning
2022-04-01,44,machine learning
2022-05-01,44,machine learning
2022-06-01,42,machine learning
2022-07-01,32,machine learning
2022-08-01,29,machine learning
2022-09-01,37,machine learning
2022-10-01,42,machine learning
2022-11-01,43,machine learning
2022-12-01,35,machine learning
2023-01-01,44,machine learning
2023-02-01,42,machine learning
2023-03-01,42,machine learning
2023-04-01,40,machine learning
2023-05-01,38,machine learning
2023-06-01,37,machine learning
2023-07-01,31,machine learning
2023-08-01,29,machine learning
2023-09-01,36,machine learning
2023-10-01,39,machine learning
2023-11-01,41,machine learning
2023-12-01,34,machine learning
2024-01-01,39,machine learning
2024-02-01,49,machine learning
2024-03-01,43,machine learning
2024-04-01,41,machine learning
2024-05-01,37,machine learning
2024-06-01,40,machine learning
2024-07-01,35,machine learning
2024-08-01,27,machine learning
2024-09-01,37,machine learning
2024-10-01,44,machine learning
2024-11-01,40,machine learning
2024-12-01,35,machine learning
2025-01-01,42,machine learning
2025-02-01,45,machine learning
2025-03-01,42,machine learning
2025-04-01,36,machine learning
2025-05-01,32,machine learning
2025-06-01,43,machine learning
2025-07-01,35,machine learning
2025-08-01,29,machine learning
2025-09-01,34,machine learning
2025-10-01,37,machine learning
2025-11-01,96,machine learning
2025-12-01,100,machine learning
2020-01-01,37,deep learning
2020-02-01,39,deep learning
2020-03-01,33,deep learning
2020-04-01,34,deep learning
2020-05-01,33,deep learning
2020-06-01,38,deep learning
2020-07-01,34,deep learning
2020-08-01,28,deep learning
2020-09-01,34,deep learning
2020-10-01,30,deep learning
2020-11-01,32,deep learning
2020-12-01,29,deep learning
2021-01-01,31,deep learning
2021-02-01,33,deep learning
2021-03-01,34,deep learning
2021-04-01,30,deep learning
2021-05-01,31,deep learning
2021-06-01,27,deep learning
2021-07-01,22,deep learning
2021-08-01,21,deep learning
2021-09-01,29,deep learning
2021-10-01,32,deep learning
2021-11-01,35,deep learning
2021-12-01,30,deep learning
2022-01-01,41,deep learning
2022-02-01,46,deep learning
2022-03-01,49,deep learning
2022-04-01,44,deep learning
2022-05-01,47,deep learning
2022-06-01,41,deep learning
2022-07-01,33,deep learning
2022-08-01,28,deep learning
2022-09-01,34,deep learning
2022-10-01,39,deep learning
2022-11-01,40,deep learning
2022-12-01,34,deep learning
2023-01-01,45,deep learning
2023-02-01,42,deep learning
2023-03-01,44,deep learning
2023-04-01,41,deep learning
2023-05-01,39,deep learning
2023-06-01,34,deep learning
2023-07-01,32,deep learning
2023-08-01,27,deep learning
2023-09-01,33,deep learning
2023-10-01,40,deep learning
2023-11-01,40,deep learning
2023-12-01,36,deep learning
2024-01-01,41,deep learning
2024-02-01,45,deep learning
2024-03-01,47,deep learning
2024-04-01,41,deep learning
2024-05-01,38,deep learning
2024-06-01,38,deep learning
2024-07-01,33,deep learning
2024-08-01,27,deep learning
2024-09-01,33,deep learning
2024-10-01,39,deep learning
2024-11-01,38,deep learning
2024-12-01,32,deep learning
2025-01-01,38,deep learning
2025-02-01,45,deep learning
2025-03-01,41,deep learning
2025-04-01,37,deep learning
2025-05-01,32,deep learning
2025-06-01,39,deep learning
2025-07-01,32,deep learning
2025-08-01,26,deep learning
2025-09-01,32,deep learning
2025-10-01,38,deep learning
2025-11-01,90,deep learning
2025-12-01,100,deep learning
2020-01-01,28,data science
2020-02-01,27,data science
2020-03-01,23,data science
2020-04-01,26,data science
2020-05-01,23,data science
2020-06-01,29,data science
2020-07-01,25,data science
2020-08-01,23,data science
2020-09-01,31,data science
2020-10-01,26,data science
2020-11-01,22,data science
2020-12-01,22,data science
2021-01-01,26,data science
2021-02-01,27,data science
2021-03-01,24,data science
2021-04-01,23,data science
2021-05-01,23,data science
2021-06-01,23,data science
2021-07-01,21,data science
2021-08-01,19,data science
2021-09-01,27,data science
2021-10-01,26,data science
2021-11-01,25,data science
2021-12-01,25,data science
2022-01-01,30,data science
2022-02-01,33,data science
2022-03-01,37,data science
2022-04-01,32,data science
2022-05-01,31,data science
2022-06-01,33,data science
2022-07-01,24,data science
2022-08-01,24,data science
2022-09-01,30,data science
2022-10-01,31,data science
2022-11-01,33,data science
2022-12-01,25,data science
2023-01-01,32,data science
2023-02-01,32,data science
2023-03-01,30,data science
2023-04-01,30,data science
2023-05-01,26,data science
2023-06-01,28,data science
2023-07-01,24,data science
2023-08-01,22,data science
2023-09-01,29,data science
2023-10-01,30,data science
2023-11-01,31,data science
2023-12-01,24,data science
2024-01-01,30,data science
2024-02-01,32,data science
2024-03-01,34,data science
2024-04-01,26,data science
2024-05-01,27,data science
2024-06-01,29,data science
2024-07-01,23,data science
2024-08-01,22,data science
2024-09-01,28,data science
2024-10-01,33,data science
2024-11-01,32,data science
2024-12-01,25,data science
2025-01-01,30,data science
2025-02-01,31,data science
2025-03-01,33,data science
2025-04-01,28,data science
2025-05-01,25,data science
2025-06-01,29,data science
2025-07-01,24,data science
2025-08-01,23,data science
2025-09-01,27,data science
2025-10-01,27,data science
2025-11-01,90,data science
2025-12-01,100,data science
2020-01-01,89,big data
2020-02-01,95,big data
2020-03-01,80,big data
2020-04-01,75,big data
2020-05-01,85,big data
2020-06-01,75,big data
2020-07-01,62,big data
2020-08-01,49,big data
2020-09-01,100,big data
2020-10-01,79,big data
2020-11-01,77,big data
2020-12-01,64,big data
2021-01-01,67,big data
2021-02-01,69,big data
2021-03-01,73,big data
2021-04-01,63,big data
2021-05-01,61,big data
2021-06-01,55,big data
2021-07-01,38,big data
2021-08-01,33,big data
2021-09-01,73,big data
2021-10-01,66,big data
2021-11-01,69,big data
2021-12-01,54,big data
2022-01-01,73,big data
2022-02-01,78,big data
2022-03-01,87,big data
2022-04-01,76,big data
2022-05-01,76,big data
2022-06-01,63,big data
2022-07-01,41,big data
2022-08-01,40,big data
2022-09-01,96,big data
2022-10-01,72,big data
2022-11-01,74,big data
2022-12-01,54,big data
2023-01-01,67,big data
2023-02-01,59,big data
2023-03-01,62,big data
2023-04-01,59,big data
2023-05-01,48,big data
2023-06-01,43,big data
2023-07-01,34,big data
2023-08-01,34,big data
2023-09-01,78,big data
2023-10-01,56,big data
2023-11-01,51,big data
2023-12-01,43,big data
2024-01-01,45,big data
2024-02-01,52,big data
2024-03-01,49,big data
2024-04-01,46,big data
2024-05-01,47,big data
2024-06-01,45,big data
2024-07-01,33,big data
2024-08-01,29,big data
2024-09-01,54,big data
2024-10-01,73,big data
2024-11-01,42,big data
2024-12-01,40,big data
2025-01-01,46,big data
2025-02-01,48,big data
2025-03-01,41,big data
2025-04-01,35,big data
2025-05-01,37,big data
2025-06-01,40,big data
2025-07-01,32,big data
2025-08-01,28,big data
2025-09-01,55,big data
2025-10-01,46,big data
2025-11-01,86,big data
2025-12-01,99,big data
2020-01-01,85,algorithme
2020-02-01,83,algorithme
2020-03-01,90,algorithme
2020-04-01,70,algorithme
2020-05-01,74,algorithme
